#time,accel_x,accel_y,accel_z
1173.145494,-229.767466,-689.302399,10109.768526
1173.145790,-689.302399,-689.302399,10186.357681
1173.146086,-382.945777,-995.659021,10186.357681
1173.146382,-689.302399,-842.480710,10262.946837
1173.146699,-536.124088,-689.302399,10186.357681
1173.146997,612.713244,-229.767466,10569.303459
1173.147295,4748.527641,153.178311,10109.768526
1173.147593,7275.969772,153.178311,9956.590215
1173.147891,12637.210657,459.534933,9573.644437
1173.148189,16083.722655,306.356622,9190.698660
1173.148486,19300.467186,459.534933,9497.055282
1173.148784,22287.444250,306.356622,9114.109504
1173.149084,21291.785229,1072.248177,9956.590215
1173.149381,21981.087628,2297.674665,8960.931193
1173.149679,19147.288875,1225.426488,9037.520349
1173.149976,16619.846743,1378.604799,10109.768526
1173.150274,14245.582923,919.069866,10186.357681
1173.150571,13709.458834,459.534933,11488.373325
1173.150869,18151.629853,459.534933,11028.838392
1173.151166,24508.529760,1838.139732,9803.411904
1173.151497,29716.592334,2144.496354,8501.396260
1173.151794,26040.312870,-1148.837332,8195.039638
1173.152091,18764.343097,-4825.116796,13096.745590
1173.152388,9650.233593,-6739.845684,17155.970832
1173.152685,6739.845684,-4059.225241,15164.652789
1173.152982,5514.419196,-536.124088,14168.993767
1173.153279,1838.139732,306.356622,14168.993767
1173.153576,1684.961421,1072.248177,15394.420255
1173.153883,5361.240885,3063.566220,16083.722655
1173.154182,14398.761234,6663.256528,10416.125148
1173.154480,22287.444250,7735.504705,7429.148083
1173.154779,26576.436958,4748.527641,7275.969772
1173.155078,28414.576690,-76.589155,7582.326394
1173.155377,31171.786288,-2833.798753,6356.899906
1173.155676,34158.763353,-6127.132440,4978.295107
1173.155975,33163.104331,-11105.427547,6663.256528
1173.156258,30482.483889,-11258.605858,8654.574571
1173.156563,26882.793580,-7658.915550,9880.001059
1173.156868,20219.537052,-2221.085509,11488.373325
1173.157172,13249.923901,1991.318043,13556.280523
1173.157477,7122.791461,5591.008351,14322.172078
1173.157782,-2450.852976,7429.148083,13403.102212
1173.158087,-7352.558928,8501.396260,11794.729947
1173.158392,-12407.443191,1838.139732,11028.838392
1173.158709,-13326.513057,-6433.489062,12254.264880
1173.159006,-13632.869679,-12024.497413,15394.420255
1173.159304,-5131.473418,-8577.985416,12866.978124
1173.159601,8654.574571,-2680.620442,7582.326394
1173.159898,17845.273231,4442.171019,3982.636086
1173.160196,21827.909317,6203.721595,7429.148083
1173.160493,16543.257588,7122.791461,12713.799813
1173.160791,21291.785229,6203.721595,9343.876971
1173.161081,18151.629853,1838.139732,7582.326394
1173.161380,12484.032346,-6280.310751,9114.109504
1173.161679,153.178311,-13249.923901,11488.373325
1173.161978,-10952.249236,-13096.745590,13403.102212
1173.162277,-16696.435899,-12943.567279,12407.443191
1173.162576,-22057.676784,-8271.628794,13556.280523
1173.162875,-22364.033406,-1914.728887,13479.691368
1173.163174,-17768.684076,4442.171019,13479.691368
1173.163460,-7505.737239,11028.838392,14475.350389
1173.163762,7735.504705,16466.668432,11028.838392
1173.164064,23895.816516,19223.878030,6433.489062
1173.164366,34618.298286,15241.241944,3982.636086
1173.164668,36073.492240,7582.326394,3676.279464
1173.164970,25887.134559,-1302.015643,6969.613150
1173.165272,12330.854035,-10799.070925,8195.039638
1173.165573,765.891555,-17155.970832,7429.148083
1173.165879,-16466.668432,-21215.196073,11335.195014
1173.166179,-29793.181489,-22593.800872,15853.955188
1173.166479,-34541.709130,-14858.296167,18228.219009
1173.166779,-27418.917669,-3446.511997,14781.707011
1173.167079,-20296.126207,2757.209598,13862.637145
1173.167379,-10339.535992,8348.217949,12790.388968
1173.167679,5361.240885,15853.955188,8041.861327
1173.167979,17998.451542,19223.878030,5054.884263
1173.168275,25121.243004,14092.404612,4288.992708
1173.168575,25274.421315,8348.217949,3140.155375
1173.168874,19760.002119,2144.496354,5591.008351
1173.169174,10109.768526,-5208.062574,8807.752882
1173.169474,-2910.387909,-10492.714303,11488.373325
1173.169773,-10952.249236,-11411.784169,12943.567279
1173.170073,-15394.420255,-13249.923901,13632.869679
1173.170373,-14092.404612,-10952.249236,15241.241944
1173.170667,-10952.249236,-7965.272172,14705.117856
1173.170968,-6663.256528,-4365.581863,14934.885322
1173.171269,4671.938485,1531.783110,10799.070925
1173.171570,14398.761234,7888.683016,7275.969772
1173.171871,18304.808164,10722.481770,6893.023995
1173.172172,18611.164786,12101.086569,6433.489062
1173.172473,16619.846743,14398.761234,4671.938485
1173.172774,5208.062574,10416.125148,8195.039638
