#time,accel_x,accel_y,accel_z
1181.472659,-76.589155,-536.124088,10569.303459
1181.472957,-76.589155,-382.945777,10569.303459
1181.473255,-76.589155,-382.945777,10569.303459
1181.473553,153.178311,-382.945777,10416.125148
1181.473841,612.713244,-382.945777,10722.481770
1181.474143,4671.938485,-229.767466,9956.590215
1181.474444,6893.023995,-229.767466,9880.001059
1181.474746,11794.729947,-0.000000,9573.644437
1181.475048,15317.831100,-76.589155,9497.055282
1181.475349,19147.288875,-0.000000,9267.287815
1181.475651,22287.444250,306.356622,9037.520349
1181.475953,22134.265939,1225.426488,9573.644437
1181.476243,23206.514116,1991.318043,8195.039638
1181.476545,19913.180430,1684.961421,9114.109504
1181.476846,16926.203365,1072.248177,9803.411904
1181.477147,14168.993767,765.891555,10186.357681
1181.477449,13403.102212,612.713244,11182.016703
1181.477750,17232.559987,153.178311,10722.481770
1181.478051,23359.692427,1531.783110,9880.001059
1181.478353,27648.685135,459.534933,8807.752882
1181.478660,24508.529760,-2067.907198,9037.520349
1181.478960,18764.343097,-5208.062574,13632.869679
1181.479261,11871.319102,-6280.310751,16466.668432
1181.479562,9497.055282,-2833.798753,14168.993767
1181.479862,8195.039638,-0.000000,13403.102212
1181.480163,4365.581863,306.356622,13556.280523
1181.480463,3752.868619,1072.248177,15547.598566
1181.480764,6433.489062,2297.674665,15241.241944
1181.481047,12637.210657,5284.651729,11641.551636
1181.481347,18917.521408,6356.899906,9573.644437
1181.481646,23666.049049,5744.186662,8195.039638
1181.481946,27648.685135,1838.139732,7505.737239
1181.482246,29410.235712,-2986.977064,6510.078217
1181.482546,32090.856154,-6586.667373,6510.078217
1181.482845,32244.034465,-10033.179370,6510.078217
1181.483145,30865.429666,-10339.535992,8041.861327
1181.483440,26882.793580,-8731.163727,9650.233593
1181.483741,20985.428607,-3446.511997,11794.729947
1181.484042,16543.257588,1378.604799,12254.264880
1181.484342,10875.660081,3523.101153,13403.102212
1181.484643,1838.139732,4825.116796,12943.567279
1181.484944,-4288.992708,3829.457775,12560.621502
1181.485245,-7122.791461,-689.302399,11488.373325
1181.485546,-8731.163727,-5667.597507,13709.458834
1181.485846,-7352.558928,-8424.807105,13709.458834
1181.486144,-1914.728887,-4212.403552,11182.016703
1181.486443,6127.132440,153.178311,7582.326394
1181.486741,14398.761234,4825.116796,5514.419196
1181.487040,14705.117856,6969.613150,7582.326394
1181.487338,16236.900966,7275.969772,11182.016703
1181.487636,20066.358741,3523.101153,6893.023995
1181.487935,21368.374384,-382.945777,7658.915550
1181.488244,18917.521408,-8577.985416,9956.590215
1181.488542,8501.396260,-15624.187722,11182.016703
1181.488841,-1455.193954,-14551.939545,12637.210657
1181.489139,-7965.272172,-11871.319102,12101.086569
1181.489438,-14934.885322,-7199.380617,11641.551636
1181.489736,-23436.281583,-842.480710,14628.528700
1181.490035,-22670.390028,4442.171019,14628.528700
1181.490333,-19683.412963,9650.233593,15394.420255
1181.490640,-14092.404612,14475.350389,15471.009411
1181.490940,1684.961421,14475.350389,11794.729947
1181.491240,20832.250296,14781.707011,6280.310751
1181.491539,35231.011530,11028.838392,2986.977064
1181.491839,35537.368152,612.713244,3676.279464
1181.492139,29869.770645,-7965.272172,6816.434839
1181.492438,21291.785229,-12637.210657,5361.240885
1181.492738,8654.574571,-18381.397320,7735.504705
1181.493073,-10645.892614,-20908.839451,12790.388968
1181.493369,-24738.297226,-19300.467186,14398.761234
1181.493665,-35996.903085,-13096.745590,19683.412963
1181.493961,-32014.266999,-3599.690308,16696.435899
1181.494256,-23436.281583,8348.217949,10722.481770
1181.494552,-14781.707011,11794.729947,9956.590215
1181.494848,-1608.372265,13479.691368,10109.768526
1181.495144,12943.567279,15241.241944,6816.434839
1181.495439,23512.870738,15394.420255,3293.333686
1181.495739,26576.436958,8654.574571,3140.155375
1181.496039,18994.110564,2604.031287,6816.434839
1181.496339,10416.125148,-3293.333686,9803.411904
1181.496640,1531.783110,-10799.070925,10645.892614
1181.496940,-5437.830040,-12943.567279,11794.729947
1181.497240,-14322.172078,-15930.544344,14168.993767
1181.497540,-16619.846743,-17462.327454,15930.544344
1181.497828,-11105.427547,-11105.427547,13862.637145
1181.498128,-2910.387909,-2221.085509,9956.590215
1181.498428,4212.403552,1378.604799,9114.109504
1181.498728,10262.946837,7429.148083,8195.039638
1181.499028,15777.366033,13326.513057,7429.148083
1181.499328,16773.025054,14934.885322,7735.504705
1181.499628,11335.195014,14475.350389,9037.520349
1181.499928,3752.868619,13020.156435,11794.729947
1181.500228,-3676.279464,7735.504705,13862.637145
1181.500528,-8424.807105,2757.209598,14705.117856
1181.500828,-12101.086569,-382.945777,12943.567279
1181.501128,-18228.219009,-7965.272172,15088.063633
1181.501428,-19683.412963,-15164.652789,18228.219009
1181.501728,-13632.869679,-14015.815456,15547.598566
1181.502028,-1148.837332,-10952.249236,9726.822748
1181.502328,10262.946837,-6586.667373,5973.954129
1181.502635,17232.559987,-2221.085509,4442.171019
1181.502937,19147.288875,1991.318043,4748.527641
1181.503238,15471.009411,6356.899906,6663.256528
1181.503539,9956.590215,10569.303459,6663.256528
1181.503841,-1914.728887,8654.574571,10186.357681
1181.504142,-9880.001059,5131.473418,13249.923901
1181.504444,-12866.978124,4442.171019,12713.799813
1181.504745,-14322.172078,3063.566220,12790.388968
1181.505062,-12101.086569,-4825.116796,13096.745590
1181.505355,-6510.078217,-6893.023995,13249.923901
1181.505649,1991.318043,-6280.310751,9420.466126
1181.505943,7275.969772,-9726.822748,7275.969772
1181.506236,11335.195014,-12484.032346,6510.078217
1181.506530,10109.768526,-10339.535992,6510.078217
1181.506824,9956.590215,-8884.342038,8424.807105
1181.507117,4518.760174,-2680.620442,9650.233593
1181.507436,-3369.922842,2604.031287,10109.768526
1181.507734,-9343.876971,4825.116796,12254.264880
1181.508033,-12101.086569,9573.644437,14628.528700
1181.508331,-10186.357681,13173.334746,12790.388968
1181.508629,-6816.434839,11182.016703,12254.264880
1181.508927,-4442.171019,5897.364973,13556.280523
1181.509226,1378.604799,3063.566220,12407.443191
1181.509524,7735.504705,-1761.550576,8577.985416
1181.509837,12943.567279,-8118.450483,6356.899906
1181.510135,13096.745590,-13556.280523,7275.969772
1181.510434,8195.039638,-15624.187722,9420.466126
1181.510732,3293.333686,-12024.497413,10262.946837
1181.511031,-995.659021,-3752.868619,9420.466126
1181.511329,-7505.737239,1225.426488,9573.644437
1181.511628,-13020.156435,4978.295107,13173.334746
1181.511926,-14628.528700,10875.660081,13403.102212
1181.512226,-12866.978124,13173.334746,12943.567279
1181.512526,-8577.985416,10109.768526,12713.799813
1181.512826,-2450.852976,5897.364973,11641.551636
1181.513126,6586.667373,3369.922842,10033.179370
1181.513426,12024.497413,-3140.155375,7429.148083
1181.513726,15777.366033,-8424.807105,5973.954129
1181.514026,11871.319102,-12943.567279,6433.489062
1181.514326,5361.240885,-14858.296167,7658.915550
1181.514633,-1914.728887,-13249.923901,9803.411904
1181.514930,-13479.691368,-11871.319102,12560.621502
1181.515227,-17002.792521,-9726.822748,14781.707011
1181.515523,-14628.528700,-2374.263820,14858.296167
1181.515820,-8118.450483,7275.969772,12254.264880
1181.516117,-2221.085509,11488.373325,11718.140791
1181.516414,4671.938485,13326.513057,11488.373325
1181.516711,11641.551636,12866.978124,10416.125148
1181.517025,16083.722655,7275.969772,7046.202306
1181.517329,15317.831100,-1761.550576,7275.969772
1181.517632,10569.303459,-8577.985416,7888.683016
1181.517936,6739.845684,-12637.210657,7582.326394
1181.518239,-76.589155,-12177.675724,9114.109504
1181.518543,-5284.651729,-10492.714303,10262.946837
1181.518847,-11258.605858,-6280.310751,12713.799813
1181.519150,-13326.513057,-229.767466,14934.885322
1181.519469,-11258.605858,8501.396260,12713.799813
1181.519762,-9880.001059,11335.195014,12407.443191
1181.520056,-3829.457775,11182.016703,13249.923901
1181.520350,1225.426488,9956.590215,11564.962480
1181.520643,8960.931193,6969.613150,9497.055282
1181.520937,12330.854035,3216.744531,7888.683016
1181.521230,12024.497413,-2680.620442,6969.613150
1181.521524,10416.125148,-6586.667373,6816.434839
1181.521841,5054.884263,-7965.272172,7735.504705
1181.522139,-1148.837332,-7658.915550,8195.039638
1181.522437,-9190.698660,-6739.845684,10722.481770
1181.522735,-13632.869679,-4059.225241,13326.513057
1181.523032,-14781.707011,-1608.372265,12943.567279
1181.523330,-14628.528700,-382.945777,14781.707011
1181.523628,-11564.962480,306.356622,15700.776877
1181.523926,306.356622,3216.744531,12024.497413
1181.524225,10416.125148,5591.008351,8348.217949
1181.524523,15777.366033,3216.744531,7735.504705
1181.524820,17385.738298,612.713244,6280.310751
1181.525118,13096.745590,-2221.085509,7658.915550
1181.525415,7429.148083,-5514.419196,8348.217949
1181.525713,-1148.837332,-7046.202306,9114.109504
1181.526010,-9880.001059,-6586.667373,11028.838392
1181.526308,-13326.513057,-6280.310751,13020.156435
1181.526638,-14092.404612,-3599.690308,13786.047990
1181.526935,-9343.876971,459.534933,13632.869679
1181.527232,-6816.434839,1225.426488,14322.172078
1181.527529,765.891555,3982.636086,11488.373325
1181.527826,8960.931193,5897.364973,9267.287815
1181.528123,12484.032346,4135.814397,6816.434839
1181.528420,12330.854035,-2527.442131,8577.985416
1181.528717,9956.590215,-5054.884263,9573.644437
1181.529024,6739.845684,-4825.116796,7429.148083
1181.529324,3140.155375,-4212.403552,9343.876971
1181.529624,-2604.031287,-842.480710,8195.039638
1181.529924,-8884.342038,-689.302399,10952.249236
1181.530224,-11564.962480,1378.604799,13249.923901
1181.530523,-11871.319102,3676.279464,11947.908258
1181.530823,-12866.978124,1378.604799,14322.172078
1181.531123,-9573.644437,-1608.372265,14168.993767
1181.531405,153.178311,459.534933,11335.195014
1181.531709,10569.303459,3063.566220,6816.434839
1181.532013,12943.567279,-995.659021,6816.434839
1181.532317,12484.032346,-3599.690308,8195.039638
1181.532621,9267.287815,-2221.085509,8731.163727
1181.532925,4059.225241,-2221.085509,9726.822748
1181.533229,-3982.636086,-2374.263820,10569.303459
1181.533533,-9190.698660,459.534933,11335.195014
1181.533805,-9190.698660,153.178311,10416.125148
1181.534107,-10952.249236,-0.000000,13173.334746
1181.534410,-13326.513057,-0.000000,15547.598566
1181.534713,-8731.163727,-229.767466,14781.707011
1181.535015,612.713244,3829.457775,13249.923901
1181.535318,8348.217949,4135.814397,9114.109504
1181.535621,14245.582923,3216.744531,8271.628794
1181.535923,15471.009411,1531.783110,7735.504705
1181.536213,15164.652789,306.356622,6510.078217
1181.536512,9420.466126,-4059.225241,8501.396260
1181.536811,-0.000000,-4901.705952,10875.660081
1181.537111,-7122.791461,-3906.046930,10645.892614
