#time,accel_x,accel_y,accel_z
1141.400958,153.178311,-536.124088,10262.946837
1141.401255,153.178311,-689.302399,10569.303459
1141.401552,-76.589155,-689.302399,10262.946837
1141.401849,-76.589155,-536.124088,10416.125148
1141.402146,-76.589155,-842.480710,10416.125148
1141.402493,-382.945777,-1148.837332,10416.125148
1141.402788,-382.945777,-1302.015643,10416.125148
1141.403083,-536.124088,-1148.837332,10569.303459
1141.403378,-382.945777,-995.659021,10262.946837
1141.403672,-0.000000,-842.480710,10262.946837
1141.403967,-76.589155,-382.945777,10416.125148
1141.404262,2144.496354,-0.000000,10416.125148
1141.404557,5361.240885,-229.767466,10109.768526
1141.404870,8807.752882,-0.000000,9573.644437
1141.405166,12637.210657,-0.000000,9650.233593
1141.405462,17998.451542,459.534933,8654.574571
1141.405758,19147.288875,153.178311,8884.342038
1141.406054,21291.785229,-76.589155,9420.466126
1141.406350,19760.002119,459.534933,9650.233593
1141.406646,17998.451542,1531.783110,10109.768526
1141.406942,17385.738298,1072.248177,9573.644437
1141.407242,14858.296167,1225.426488,9803.411904
1141.407543,14551.939545,1225.426488,10569.303459
1141.407844,16083.722655,-229.767466,10569.303459
1141.408144,20832.250296,459.534933,10262.946837
1141.408445,27035.971891,612.713244,9573.644437
1141.408746,29563.414023,-76.589155,8577.985416
1141.409047,25121.243004,-2067.907198,10186.357681
1141.409348,18611.164786,-4212.403552,13939.226301
1141.409655,11182.016703,-4518.760174,15317.831100
1141.409951,8960.931193,-1455.193954,13709.458834
1141.410247,5820.775818,459.534933,13862.637145
1141.410543,3140.155375,1225.426488,14858.296167
1141.410840,4748.527641,3216.744531,15930.544344
1141.411136,10109.768526,6050.543284,13020.156435
1141.411432,18764.343097,8654.574571,8501.396260
1141.411728,23895.816516,7275.969772,7429.148083
1141.412036,23053.335805,2297.674665,7735.504705
1141.412338,23742.638205,-2680.620442,8807.752882
1141.412640,23206.514116,-7352.558928,9037.520349
1141.412942,23512.870738,-10799.070925,8041.861327
1141.413244,21291.785229,-12330.854035,8195.039638
1141.413546,15317.831100,-10339.535992,9650.233593
1141.413848,8195.039638,-5514.419196,11028.838392
1141.414150,-382.945777,-536.124088,13709.458834
1141.414497,-7658.915550,3369.922842,14705.117856
1141.414789,-12866.978124,6663.256528,14781.707011
1141.415081,-15394.420255,8501.396260,12637.210657
1141.415373,-10952.249236,6510.078217,9726.822748
1141.415665,612.713244,-76.589155,8501.396260
1141.415956,13249.923901,-4825.116796,6663.256528
1141.416248,23742.638205,-5667.597507,4288.992708
1141.416540,26040.312870,-6739.845684,4748.527641
1141.416857,18457.986475,-5667.597507,9267.287815
1141.417155,7735.504705,-1608.372265,11794.729947
1141.417453,-8424.807105,2450.852976,14781.707011
1141.417751,-23436.281583,4135.814397,16773.025054
1141.418049,-30712.251355,6510.078217,17155.970832
1141.418346,-32167.445310,2757.209598,15394.420255
1141.418644,-28184.809224,-2833.798753,15547.598566
1141.418942,-11105.427547,-8271.628794,12790.388968
1141.419242,12943.567279,-9726.822748,9114.109504
1141.419542,34618.298286,-9037.520349,2680.620442
1141.419842,48251.167965,-5667.597507,995.659021
1141.420142,45876.904144,-2680.620442,3676.279464
1141.420442,36379.848862,1838.139732,5514.419196
1141.420742,19147.288875,6969.613150,8348.217949
1141.421042,-4442.171019,6816.434839,11258.605858
1141.421342,-24278.762293,5744.186662,15547.598566
1141.421633,-35690.546463,3523.101153,17309.149143
1141.421931,-38983.880149,1225.426488,17462.327454
1141.422230,-31095.197133,-2680.620442,15853.955188
1141.422529,-19683.412963,-3446.511997,14705.117856
1141.422827,-7199.380617,-3140.155375,12790.388968
1141.423126,8654.574571,-2680.620442,8041.861327
1141.423425,18994.110564,-842.480710,5054.884263
1141.423724,26729.615269,153.178311,3293.333686
1141.424031,26423.258647,-76.589155,5054.884263
1141.424335,20525.893674,1225.426488,6280.310751
1141.424640,12024.497413,2297.674665,7812.093861
1141.424945,-1302.015643,1838.139732,10875.660081
1141.425249,-13939.226301,-76.589155,13709.458834
1141.425554,-22057.676784,-1148.837332,15241.241944
1141.425858,-24738.297226,-1302.015643,14628.528700
1141.426163,-18075.040698,-2221.085509,12560.621502
1141.426445,-6663.256528,-1914.728887,10569.303459
1141.426747,9267.287815,153.178311,8501.396260
1141.427050,21981.087628,2757.209598,7429.148083
1141.427352,27342.328513,5897.364973,6816.434839
1141.427654,23895.816516,5591.008351,7582.326394
1141.427956,12943.567279,3369.922842,9803.411904
1141.428259,-995.659021,-0.000000,12330.854035
1141.428561,-12560.621502,-4365.581863,13173.334746
1141.428843,-17002.792521,-7352.558928,13556.280523
1141.429139,-16160.311810,-7658.915550,13939.226301
1141.429435,-12407.443191,-4518.760174,12713.799813
1141.429731,-9497.055282,-2833.798753,12560.621502
1141.430027,-7965.272172,-2680.620442,14015.815456
1141.430324,-3369.922842,-4212.403552,13632.869679
1141.430620,3446.511997,-229.767466,11028.838392
1141.430916,12637.210657,2144.496354,6969.613150
1141.431228,17845.273231,3523.101153,4518.760174
1141.431527,18917.521408,4595.349330,5667.597507
1141.431826,14168.993767,5131.473418,7888.683016
1141.432125,3906.046930,3829.457775,10492.714303
1141.432425,-7812.093861,306.356622,12713.799813
1141.432724,-14934.885322,-3140.155375,12101.086569
1141.433023,-19530.234652,-4365.581863,11947.908258
1141.433322,-18687.753942,-5973.954129,12713.799813
1141.433631,-11105.427547,-7812.093861,11641.551636
1141.433930,919.069866,-4825.116796,10416.125148
1141.434228,10262.946837,-842.480710,8960.931193
1141.434527,14015.815456,2604.031287,9267.287815
1141.434825,12177.675724,4135.814397,9267.287815
1141.435124,10109.768526,5897.364973,7888.683016
1141.435422,4212.403552,4442.171019,7275.969772
1141.435721,-1148.837332,1684.961421,9420.466126
1141.436028,-4825.116796,-0.000000,9650.233593
1141.436327,-4288.992708,-229.767466,10262.946837
1141.436626,-6356.899906,2450.852976,12024.497413
1141.436925,-6816.434839,4442.171019,11718.140791
1141.437223,-6816.434839,3676.279464,11335.195014
1141.437522,-7505.737239,306.356622,12177.675724
1141.437821,-7122.791461,-4901.705952,12637.210657
1141.438120,-1914.728887,-7505.737239,11794.729947
1141.438417,7275.969772,-7812.093861,9037.520349
1141.438716,14551.939545,-6739.845684,7122.791461
1141.439016,11182.016703,-5973.954129,9573.644437
1141.439315,4365.581863,-3293.333686,12407.443191
1141.439615,-842.480710,-229.767466,12101.086569
1141.439914,-4978.295107,2297.674665,9956.590215
1141.440214,-10339.535992,919.069866,10569.303459
1141.440513,-12101.086569,-995.659021,12560.621502
1141.440808,-6356.899906,-536.124088,11335.195014
1141.441108,2297.674665,2144.496354,9420.466126
1141.441409,6280.310751,1991.318043,9956.590215
1141.441709,5973.954129,1225.426488,11718.140791
1141.442009,5667.597507,306.356622,10875.660081
1141.442309,3599.690308,-2067.907198,9573.644437
1141.442609,-0.000000,-6280.310751,8731.163727
1141.442909,-842.480710,-11258.605858,8807.752882
1141.443221,-1148.837332,-11411.784169,10262.946837
1141.443522,-842.480710,-8424.807105,10569.303459
1141.443823,-4825.116796,-3906.046930,10952.249236
1141.444123,-6050.543284,-536.124088,11028.838392
1141.444424,-6510.078217,1378.604799,12254.264880
1141.444725,-5897.364973,3676.279464,11641.551636
1141.445025,-2450.852976,5591.008351,10492.714303
1141.445326,4518.760174,7275.969772,8195.039638
1141.445635,12024.497413,8501.396260,6280.310751
1141.445931,13403.102212,8960.931193,6816.434839
1141.446226,7735.504705,4595.349330,11488.373325
1141.446521,-0.000000,153.178311,14015.815456
1141.446817,-4595.349330,-3752.868619,13096.745590
