#time,accel_x,accel_y,accel_z
1208.520833,-76.589155,-382.945777,10416.125148
1208.521129,153.178311,-382.945777,10339.535992
1208.521425,-382.945777,-536.124088,10569.303459
1208.521721,153.178311,-382.945777,10645.892614
1208.522018,3446.511997,-229.767466,10109.768526
1208.522318,5208.062574,-0.000000,9880.001059
1208.522619,10416.125148,153.178311,9573.644437
1208.522920,13709.458834,-76.589155,9803.411904
1208.523221,19300.467186,612.713244,8884.342038
1208.523522,21138.606918,765.891555,9114.109504
1208.523822,21521.552695,765.891555,9650.233593
1208.524123,22440.622561,1378.604799,9267.287815
1208.524428,19760.002119,2144.496354,9420.466126
1208.524725,18457.986475,1378.604799,9267.287815
1208.525022,14858.296167,1225.426488,9880.001059
1208.525319,13709.458834,612.713244,10492.714303
1208.525616,16543.257588,153.178311,11028.838392
1208.525913,21981.087628,612.713244,10109.768526
1208.526210,28261.398379,1531.783110,8654.574571
1208.526507,30635.662200,-229.767466,7735.504705
1208.526818,24355.351449,-2833.798753,9880.001059
1208.527121,16083.722655,-5820.775818,15317.831100
1208.527424,8041.861327,-5973.954129,16236.900966
1208.527726,3906.046930,-2067.907198,15547.598566
1208.528029,1378.604799,153.178311,13939.226301
1208.528332,-4288.992708,153.178311,15700.776877
1208.528635,-4825.116796,1378.604799,18994.110564
1208.528938,3293.333686,3982.636086,15547.598566
1208.529254,15471.009411,8501.396260,10645.892614
1208.529549,26116.902025,8348.217949,7429.148083
1208.529844,32397.212776,3676.279464,6127.132440
1208.530139,37452.097039,-229.767466,5208.062574
1208.530435,42047.446369,-2986.977064,3829.457775
1208.530730,42200.624680,-7658.915550,3369.922842
1208.531025,37911.631972,-10645.892614,5973.954129
1208.531320,29869.770645,-12024.497413,9573.644437
1208.531635,21291.785229,-8424.807105,12024.497413
1208.531934,14245.582923,-3599.690308,13556.280523
1208.532232,8654.574571,1378.604799,14168.993767
1208.532531,765.891555,3523.101153,14628.528700
1208.532830,-3216.744531,6050.543284,14322.172078
1208.533128,-3523.101153,4748.527641,13173.334746
1208.533427,2680.620442,765.891555,11488.373325
1208.533725,8807.752882,-3140.155375,10569.303459
1208.534023,15930.544344,-4671.938485,10952.249236
1208.534320,24968.064693,-2833.798753,9573.644437
1208.534616,34771.476597,2910.387909,5208.062574
1208.534913,39366.825927,5284.651729,4365.581863
1208.535210,30635.662200,4288.992708,8807.752882
1208.535507,17998.451542,612.713244,10952.249236
1208.535803,2680.620442,-3752.868619,13556.280523
1208.536100,-6969.613150,-8118.450483,13020.156435
1208.536411,-17155.970832,-9343.876971,12101.086569
1208.536710,-21598.141851,-11718.140791,15700.776877
1208.537009,-19530.234652,-13403.102212,18228.219009
1208.537307,-5284.651729,-6433.489062,15011.474478
1208.537606,10109.768526,2144.496354,10569.303459
1208.537905,22900.157494,9956.590215,5973.954129
1208.538204,34005.585042,15394.420255,1991.318043
1208.538502,28644.344157,17538.916609,6356.899906
1208.538807,18304.808164,12560.621502,7735.504705
1208.539112,1684.961421,7735.504705,9497.055282
1208.539416,-15547.598566,-76.589155,12943.567279
1208.539721,-30099.538111,-9497.055282,14322.172078
1208.540025,-38064.810283,-13403.102212,17538.916609
1208.540330,-31707.910377,-16083.722655,15853.955188
1208.540635,-18075.040698,-16236.900966,12330.854035
1208.540939,-76.589155,-9726.822748,11488.373325
1208.541220,22440.622561,-2527.442131,8424.807105
1208.541516,37452.097039,2604.031287,1684.961421
1208.541813,45417.369211,8348.217949,3063.566220
1208.542109,43349.462013,10722.481770,-765.891555
1208.542406,28644.344157,7275.969772,229.767466
1208.542702,1531.783110,-229.767466,11182.016703
1208.542998,-19377.056341,-6893.023995,14092.404612
1208.543295,-34541.709130,-6433.489062,17232.559987
1208.543620,-35843.724774,-2680.620442,17538.916609
1208.543916,-35307.600685,-3599.690308,15394.420255
1208.544212,-28720.933312,-1914.728887,18764.343097
1208.544508,-14322.172078,2604.031287,17615.505765
1208.544804,4059.225241,3982.636086,10492.714303
1208.545101,21981.087628,4442.171019,7965.272172
1208.545397,29563.414023,-689.302399,5131.473418
1208.545693,30635.662200,-2986.977064,4288.992708
1208.546002,25427.599626,-1914.728887,4442.171019
1208.546301,14398.761234,-3446.511997,5361.240885
1208.546601,-1148.837332,-5667.597507,10875.660081
1208.546900,-12101.086569,-2221.085509,13556.280523
1208.547199,-17462.327454,2297.674665,13862.637145
1208.547498,-19683.412963,5131.473418,16083.722655
1208.547797,-13173.334746,8654.574571,13326.513057
1208.548096,-1148.837332,13173.334746,9726.822748
1208.548408,8807.752882,12101.086569,10109.768526
1208.548705,8960.931193,2450.852976,9497.055282
1208.549003,7735.504705,-5514.419196,13709.458834
1208.549301,11335.195014,-6739.845684,6969.613150
1208.549599,14015.815456,-6893.023995,1072.248177
1208.549897,6280.310751,-10492.714303,5437.830040
1208.550195,-7199.380617,-11411.784169,11182.016703
1208.550493,-15700.776877,-6586.667373,15394.420255
1208.550797,-16696.435899,1072.248177,14934.885322
1208.551097,-18228.219009,3676.279464,12943.567279
1208.551396,-18075.040698,3369.922842,15394.420255
1208.551696,-11411.784169,4978.295107,16007.133499
1208.551996,306.356622,5897.364973,9803.411904
1208.552296,11794.729947,6356.899906,7735.504705
1208.552595,19300.467186,3523.101153,4671.938485
1208.552895,19760.002119,-1302.015643,6586.667373
1208.553222,18917.521408,-4212.403552,7965.272172
1208.553520,15011.474478,-4059.225241,4901.705952
