#time,accel_x,accel_y,accel_z
1177.367087,-76.589155,-689.302399,10416.125148
1177.367378,-382.945777,-536.124088,10569.303459
1177.367669,765.891555,-382.945777,10492.714303
1177.367961,4671.938485,-382.945777,10109.768526
1177.368268,6739.845684,-0.000000,9956.590215
1177.368567,12330.854035,-0.000000,9190.698660
1177.368866,16236.900966,153.178311,9114.109504
1177.369165,19300.467186,153.178311,9573.644437
1177.369464,23359.692427,459.534933,8654.574571
1177.369763,22746.979183,1531.783110,9343.876971
1177.370062,23359.692427,2604.031287,8271.628794
1177.370361,19913.180430,1838.139732,9037.520349
1177.370679,16390.079277,1225.426488,10416.125148
1177.370977,14015.815456,1072.248177,10416.125148
1177.371276,12943.567279,459.534933,11335.195014
1177.371574,17692.094920,459.534933,10875.660081
1177.371872,23666.049049,1991.318043,9803.411904
1177.372171,28797.522468,1225.426488,8807.752882
1177.372469,26423.258647,-995.659021,8960.931193
1177.372768,20372.715363,-4518.760174,13096.745590
1177.373085,12637.210657,-5820.775818,16696.435899
1177.373383,8960.931193,-3599.690308,14628.528700
1177.373681,5820.775818,-1455.193954,14168.993767
1177.373979,1684.961421,-995.659021,13556.280523
1177.374276,-536.124088,-536.124088,15853.955188
1177.374574,2144.496354,1072.248177,17002.792521
1177.374872,10875.660081,4978.295107,12713.799813
1177.375170,20679.071985,8807.752882,8348.217949
1177.375468,26576.436958,7275.969772,6280.310751
1177.375768,29410.235712,919.069866,6663.256528
1177.376068,31171.786288,-2680.620442,7122.791461
1177.376368,33546.050109,-6586.667373,6510.078217
1177.376668,33546.050109,-9650.233593,6663.256528
1177.376968,31018.607977,-9497.055282,7965.272172
1177.377268,23512.870738,-9343.876971,12101.086569
1177.377568,19913.180430,-3446.511997,12560.621502
1177.377859,16390.079277,1838.139732,11335.195014
1177.378158,10109.768526,4978.295107,11794.729947
1177.378456,-536.124088,4595.349330,13096.745590
1177.378755,-9037.520349,3829.457775,15394.420255
1177.379054,-9726.822748,1991.318043,13020.156435
1177.379352,-6663.256528,-3752.868619,10569.303459
1177.379651,-7122.791461,-4518.760174,11182.016703
1177.379950,-2221.085509,-3140.155375,10569.303459
1177.380257,4212.403552,1225.426488,9650.233593
1177.380562,12790.388968,6356.899906,7429.148083
1177.380866,14858.296167,8041.861327,8501.396260
1177.381171,15317.831100,5284.651729,9650.233593
1177.381476,16619.846743,2144.496354,11028.838392
1177.381780,18151.629853,-2067.907198,9956.590215
1177.382085,15777.366033,-7658.915550,8041.861327
1177.382390,6893.023995,-10339.535992,10339.535992
1177.382706,-4595.349330,-11564.962480,11641.551636
1177.383000,-14322.172078,-10339.535992,13786.047990
1177.383293,-22517.211717,-5667.597507,13709.458834
1177.383586,-27112.561047,-842.480710,14781.707011
1177.383880,-20755.661140,4595.349330,15624.187722
1177.384173,-8271.628794,10875.660081,13862.637145
1177.384467,7582.326394,15241.241944,10033.179370
1177.384760,23895.816516,16466.668432,6663.256528
1177.385055,34005.585042,13020.156435,3982.636086
1177.385356,37452.097039,6050.543284,2680.620442
1177.385657,28414.576690,-3906.046930,5284.651729
1177.385957,17079.381676,-10645.892614,6280.310751
1177.386258,1991.318043,-16543.257588,8195.039638
1177.386559,-15394.420255,-21215.196073,13862.637145
1177.386860,-26499.847803,-19836.591274,15700.776877
1177.387161,-30405.894733,-12790.388968,14781.707011
1177.387449,-30405.894733,-4825.116796,15700.776877
1177.387749,-29640.003178,-4365.581863,18075.040698
1177.388049,-18381.397320,3063.566220,17155.970832
1177.388349,-995.659021,11794.729947,10262.946837
1177.388649,17845.273231,14475.350389,3293.333686
1177.388950,28797.522468,13939.226301,1148.837332
1177.389250,28261.398379,9267.287815,1302.015643
1177.389550,22593.800872,2604.031287,5054.884263
1177.389859,12330.854035,-3752.868619,8807.752882
1177.390157,765.891555,-8271.628794,9420.466126
1177.390456,-9343.876971,-14015.815456,12943.567279
1177.390754,-15088.063633,-13862.637145,15930.544344
1177.391053,-14628.528700,-10339.535992,14015.815456
1177.391351,-10186.357681,-6893.023995,14322.172078
1177.391650,-5131.473418,-3140.155375,14475.350389
1177.391948,3906.046930,3676.279464,10875.660081
1177.392255,8960.931193,8041.861327,8960.931193
1177.392554,11028.838392,10262.946837,8960.931193
1177.392853,14398.761234,12254.264880,6127.132440
1177.393152,10722.481770,12407.443191,9420.466126
1177.393451,5820.775818,8960.931193,12407.443191
1177.393750,1378.604799,10262.946837,10416.125148
1177.394049,-5897.364973,8195.039638,10875.660081
1177.394348,-12713.799813,1991.318043,15317.831100
1177.394645,-16619.846743,-2221.085509,15930.544344
1177.394947,-14322.172078,-3599.690308,15700.776877
1177.395250,-10645.892614,-7505.737239,14705.117856
1177.395553,-4825.116796,-10339.535992,13709.458834
1177.395856,4212.403552,-7965.272172,10262.946837
1177.396159,13249.923901,-5667.597507,6280.310751
1177.396462,19147.288875,-2067.907198,5208.062574
1177.396765,19147.288875,1378.604799,4442.171019
1177.397092,12943.567279,5591.008351,6356.899906
1177.397388,2374.263820,7275.969772,9573.644437
1177.397683,-6356.899906,9114.109504,9880.001059
1177.397978,-12713.799813,8960.931193,11641.551636
1177.398274,-16619.846743,3216.744531,14015.815456
1177.398569,-15241.241944,-1148.837332,14322.172078
1177.398865,-14245.582923,-5514.419196,15241.241944
1177.399160,-8577.985416,-11105.427547,12943.567279
1177.399472,3140.155375,-11718.140791,9573.644437
1177.399770,11641.551636,-13862.637145,6356.899906
1177.400067,15011.474478,-15930.544344,6280.310751
1177.400364,17385.738298,-12484.032346,6203.721595
1177.400662,16236.900966,-5973.954129,2374.263820
1177.400959,8195.039638,-3599.690308,6510.078217
1177.401257,-7505.737239,-4518.760174,13096.745590
1177.401554,-16619.846743,1991.318043,15241.241944
1177.401854,-19377.056341,5591.008351,13862.637145
1177.402154,-16466.668432,9650.233593,13403.102212
1177.402454,-10033.179370,10262.946837,12560.621502
1177.402754,-4825.116796,9267.287815,12254.264880
1177.403054,2527.442131,3216.744531,13249.923901
1177.403354,10875.660081,-1302.015643,10339.535992
1177.403654,17385.738298,-7352.558928,6586.667373
1177.403954,18457.986475,-14168.993767,6663.256528
1177.404261,16236.900966,-14322.172078,6663.256528
1177.404561,10875.660081,-11871.319102,6356.899906
1177.404862,3906.046930,-6127.132440,8807.752882
1177.405162,-7812.093861,459.534933,10722.481770
1177.405462,-18228.219009,7429.148083,12713.799813
1177.405762,-23129.924961,12560.621502,16696.435899
1177.406063,-23436.281583,16466.668432,16849.614210
1177.406363,-15547.598566,19223.878030,13862.637145
1177.406633,-7352.558928,15394.420255,13249.923901
1177.406933,612.713244,8041.861327,13403.102212
1177.407233,14168.993767,3523.101153,8654.574571
1177.407534,19453.645497,-4059.225241,6203.721595
1177.407834,21521.552695,-12177.675724,5744.186662
1177.408134,17538.916609,-16696.435899,5514.419196
1177.408435,8501.396260,-15624.187722,7429.148083
1177.408735,-1761.550576,-12943.567279,9267.287815
1177.409054,-12560.621502,-5514.419196,10799.070925
1177.409352,-20296.126207,153.178311,12713.799813
1177.409650,-22210.855095,4288.992708,15930.544344
1177.409948,-17768.684076,9267.287815,17462.327454
1177.410247,-8884.342038,13939.226301,14781.707011
1177.410545,3293.333686,13632.869679,12330.854035
1177.410843,12790.388968,8807.752882,11182.016703
1177.411141,19453.645497,3982.636086,7812.093861
1177.411454,20525.893674,-3140.155375,6356.899906
1177.411753,18994.110564,-10186.357681,4901.705952
1177.412051,9420.466126,-17002.792521,6127.132440
1177.412350,-2757.209598,-21062.017762,9267.287815
1177.412648,-12866.978124,-18075.040698,11794.729947
1177.412947,-16007.133499,-10186.357681,10722.481770
1177.413245,-19377.056341,-3599.690308,12713.799813
1177.413543,-18840.932253,2604.031287,15700.776877
1177.413843,-8731.163727,11794.729947,14628.528700
1177.414142,459.534933,18457.986475,10033.179370
1177.414442,11871.319102,16466.668432,8577.985416
1177.414741,13249.923901,8960.931193,9497.055282
1177.415040,12943.567279,-995.659021,10109.768526
1177.415339,14705.117856,-6280.310751,7658.915550
1177.415639,16619.846743,-9880.001059,3676.279464
1177.415938,8195.039638,-13862.637145,3982.636086
1177.416245,-3676.279464,-16696.435899,9420.466126
1177.416547,-14092.404612,-12024.497413,11641.551636
1177.416850,-17615.505765,-3446.511997,10645.892614
1177.417153,-19836.591274,-0.000000,12101.086569
1177.417455,-20602.482829,2297.674665,15930.544344
1177.417758,-13632.869679,6663.256528,15394.420255
1177.418060,-1302.015643,12407.443191,14168.993767
1177.418363,11335.195014,14245.582923,10262.946837
1177.418602,20832.250296,11794.729947,8041.861327
1177.418911,21368.374384,5131.473418,8041.861327
1177.419219,19913.180430,153.178311,6816.434839
1177.419528,12330.854035,-3599.690308,6586.667373
1177.419837,153.178311,-8271.628794,8348.217949
1177.420145,-10952.249236,-12484.032346,11641.551636
1177.420454,-18228.219009,-11105.427547,14015.815456
1177.420763,-21751.320162,-7046.202306,14781.707011
1177.421035,-20142.947896,-3140.155375,16083.722655
1177.421335,-11871.319102,4135.814397,15088.063633
1177.421634,-0.000000,11641.551636,12254.264880
1177.421933,11488.373325,14398.761234,9420.466126
1177.422233,17692.094920,13632.869679,9114.109504
1177.422532,20832.250296,9267.287815,7122.791461
1177.422831,18917.521408,612.713244,6356.899906
1177.423131,15011.474478,-7046.202306,6969.613150
1177.423448,5361.240885,-11105.427547,7735.504705
1177.423747,-4748.527641,-14858.296167,9420.466126
1177.424045,-15547.598566,-15317.831100,11947.908258
1177.424344,-20449.304518,-11718.140791,13096.745590
1177.424642,-23589.459894,-7046.202306,14628.528700
1177.424941,-20449.304518,-2374.263820,15394.420255
1177.425239,-9880.001059,4748.527641,12943.567279
1177.425538,2527.442131,8195.039638,9956.590215
1177.425838,14245.582923,7582.326394,8807.752882
1177.426135,22900.157494,7275.969772,5361.240885
1177.426433,26729.615269,4288.992708,3369.922842
1177.426730,18304.808164,-3599.690308,7582.326394
