#time,accel_x,accel_y,accel_z
1155.514141,-229.767466,-1148.837332,10569.303459
1155.514439,-76.589155,-842.480710,10416.125148
1155.514738,1838.139732,-382.945777,10416.125148
1155.515036,5208.062574,-229.767466,9726.822748
1155.515350,8807.752882,-229.767466,9573.644437
1155.515649,13249.923901,-229.767466,9114.109504
1155.515948,18151.629853,-76.589155,8807.752882
1155.516246,19760.002119,-0.000000,8960.931193
1155.516545,22746.979183,153.178311,8731.163727
1155.516844,21827.909317,919.069866,8960.931193
1155.517143,21138.606918,2450.852976,8884.342038
1155.517441,19147.288875,1225.426488,8501.396260
1155.517730,15011.474478,1225.426488,9803.411904
1155.518030,14398.761234,1072.248177,9956.590215
1155.518330,15471.009411,153.178311,9880.001059
1155.518630,19913.180430,612.713244,10033.179370
1155.518930,25580.777937,306.356622,9267.287815
1155.519230,27189.150202,-689.302399,8960.931193
1155.519530,22593.800872,-2986.977064,10569.303459
1155.519830,15777.366033,-4825.116796,15164.652789
1155.520130,10875.660081,-3906.046930,15853.955188
1155.520429,8807.752882,-229.767466,13939.226301
1155.520728,6433.489062,1378.604799,13556.280523
1155.521027,2527.442131,1225.426488,14628.528700
1155.521327,2374.263820,1838.139732,16236.900966
1155.521626,6739.845684,3523.101153,14781.707011
1155.521925,13249.923901,5131.473418,11794.729947
1155.522225,20066.358741,5744.186662,9956.590215
1155.522532,25274.421315,4442.171019,7812.093861
1155.522831,31018.607977,765.891555,6663.256528
1155.523130,32703.569398,-2680.620442,6356.899906
1155.523429,34158.763353,-6739.845684,6510.078217
1155.523729,33163.104331,-9880.001059,6050.543284
1155.524028,27342.328513,-10033.179370,8348.217949
1155.524327,18151.629853,-7658.915550,11794.729947
1155.524627,8501.396260,-4518.760174,13556.280523
1155.524930,-229.767466,-76.589155,15930.544344
1155.525230,-6969.613150,3523.101153,13709.458834
1155.525531,-18687.753942,4978.295107,13632.869679
1155.525831,-24431.940604,4135.814397,14781.707011
1155.526131,-21215.196073,459.534933,12790.388968
1155.526432,-8118.450483,-2986.977064,8960.931193
1155.526732,3293.333686,-2986.977064,5361.240885
1155.527032,12943.567279,-4518.760174,5131.473418
1155.527351,20066.358741,-4059.225241,7888.683016
1155.527649,26423.258647,1378.604799,9267.287815
1155.527947,28108.220068,6816.434839,7122.791461
1155.528246,20066.358741,7735.504705,9114.109504
1155.528544,7888.683016,3829.457775,10033.179370
1155.528842,-7199.380617,-1914.728887,12407.443191
1155.529140,-21368.374384,-7658.915550,15241.241944
1155.529439,-27725.274291,-14168.993767,14781.707011
1155.529752,-26653.026114,-18075.040698,14781.707011
1155.530048,-17462.327454,-15317.831100,14168.993767
1155.530344,-6356.899906,-5667.597507,12560.621502
1155.530640,7582.326394,5131.473418,11258.605858
1155.530936,22440.622561,14475.350389,8118.450483
1155.531232,32856.747709,17998.451542,5744.186662
1155.531528,35231.011530,18457.986475,5667.597507
1155.531824,30865.429666,12254.264880,5054.884263
1155.532123,20066.358741,4442.171019,7429.148083
1155.532424,7888.683016,-5054.884263,9114.109504
1155.532725,-7352.558928,-11718.140791,11335.195014
1155.533026,-22670.390028,-17002.792521,15547.598566
1155.533326,-33622.639264,-18687.753942,15930.544344
1155.533627,-35843.724774,-16236.900966,16696.435899
1155.533928,-32320.623621,-10186.357681,15700.776877
1155.534228,-19377.056341,-2680.620442,12790.388968
1155.534535,-2604.031287,4978.295107,9956.590215
1155.534832,12790.388968,12101.086569,7965.272172
1155.535129,23742.638205,15241.241944,4901.705952
1155.535426,26882.793580,15241.241944,2527.442131
1155.535723,22746.979183,10722.481770,4365.581863
1155.536020,12790.388968,919.069866,7046.202306
1155.536317,-382.945777,-7658.915550,9956.590215
1155.536614,-6050.543284,-9726.822748,10262.946837
1155.536928,-8118.450483,-10186.357681,8654.574571
1155.537231,-10952.249236,-10339.535992,9650.233593
1155.537533,-11718.140791,-9726.822748,13249.923901
1155.537836,-5897.364973,-6127.132440,12943.567279
1155.538139,1531.783110,306.356622,13556.280523
1155.538442,8195.039638,2604.031287,11488.373325
1155.538744,12330.854035,4748.527641,9650.233593
1155.539047,15011.474478,8041.861327,10339.535992
1155.539366,14705.117856,8960.931193,8960.931193
1155.539662,5361.240885,5131.473418,9880.001059
1155.539958,-2221.085509,1072.248177,12943.567279
1155.540254,-9726.822748,-1148.837332,14015.815456
1155.540550,-12407.443191,-1608.372265,12407.443191
1155.540846,-14781.707011,-1761.550576,13096.745590
1155.541142,-12713.799813,-2680.620442,14934.885322
1155.541438,-8577.985416,-689.302399,14322.172078
1155.541675,-1608.372265,2297.674665,12484.032346
1155.541981,4901.705952,2757.209598,10109.768526
1155.542287,8960.931193,1225.426488,9956.590215
1155.542593,12024.497413,612.713244,9420.466126
1155.542899,11641.551636,-536.124088,8195.039638
1155.543205,11335.195014,-995.659021,7735.504705
1155.543511,5820.775818,-1914.728887,8348.217949
1155.543817,-2604.031287,-3446.511997,9956.590215
1155.544117,-8731.163727,-3293.333686,10416.125148
1155.544417,-9343.876971,-995.659021,11182.016703
1155.544717,-8424.807105,-0.000000,10339.535992
1155.545017,-5897.364973,2144.496354,9803.411904
1155.545317,-3216.744531,4442.171019,9650.233593
1155.545617,2297.674665,7122.791461,8807.752882
1155.545917,3752.868619,5437.830040,8654.574571
1155.546217,2297.674665,153.178311,9114.109504
1155.546508,4901.705952,-3446.511997,8654.574571
1155.546810,5208.062574,-6127.132440,8807.752882
1155.547113,2374.263820,-8424.807105,8807.752882
1155.547415,-536.124088,-10033.179370,9803.411904
1155.547718,-4288.992708,-8884.342038,11641.551636
1155.548021,-6203.721595,-7965.272172,11335.195014
1155.548323,-11258.605858,-8118.450483,12790.388968
1155.548626,-10645.892614,-6127.132440,13556.280523
1155.548934,-6050.543284,-2374.263820,12713.799813
