freq,psd_x,psd_y,psd_z,psd_xyz
179.5,2.455e+03,1.922e+03,1.005e+04,1.443e+04
181.1,2.103e+03,1.478e+03,1.089e+04,1.447e+04
182.6,1.634e+03,8.964e+02,9.376e+03,1.191e+04
184.2,2.227e+03,9.918e+02,1.389e+04,1.711e+04
185.7,1.824e+03,6.480e+02,1.193e+04,1.440e+04
187.2,1.134e+03,3.424e+02,7.488e+03,8.964e+03
188.8,2.028e+03,4.069e+02,1.535e+04,1.778e+04
190.3,1.843e+03,4.311e+02,1.391e+04,1.619e+04
191.9,1.839e+03,4.127e+02,1.492e+04,1.718e+04
193.4,1.238e+03,3.300e+02,9.522e+03,1.109e+04
195.0,1.861e+03,4.543e+02,1.439e+04,1.670e+04
196.5,2.207e+03,4.959e+02,1.756e+04,2.026e+04
198.1,1.318e+03,4.131e+02,1.103e+04,1.276e+04
199.6,1.720e+03,6.895e+02,1.384e+04,1.625e+04
